	Athal_seq	Crub_seq	Agroup_monophyly	Crub_Cgrand_monophyly	Csat_monophyly	C_group_monophyly	Topology	Topology_loose	Bootstrap_Support
27	AtAT3G26640	Cr10017559	TRUE	TRUE	TRUE	TRUE	AC_topology	AC_topology	85
28	AtAT1G12910	Cr10011643	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	87
29	AtAT1G14360	Cr10011652	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	98
30	AtAT2G02810	Cr10017499	FALSE	TRUE	TRUE	FALSE	Other_topology	BC_topology	40
31	AtAT1G14390	Cr10012614	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
32	AtAT2G02780	Cr10018714	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	50
33	AtAT1G15960	Cr10008854	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	94
34	AtAT1G80830	Cr10021908	FALSE	TRUE	TRUE	TRUE	BC_topology	BC_topology	93
35	AtAT1G17420	Cr10008244	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
36	AtAT1G72520	Cr10019743	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	76
37	AtAT1G73030	Cr10020963	TRUE	TRUE	TRUE	TRUE	AC_topology	AC_topology	59
38	AtAT1G17730	Cr10010323	TRUE	TRUE	TRUE	FALSE	Other_topology	Other_topology	BS_scoreNA
39	AtAT1G73690	Cr10020413	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	99
40	AtAT1G18040	Cr10011276	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	65
41	AtAT1G74040	Cr10019832	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	99
42	AtAT1G18500	Cr10008887	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
43	AtAT1G74780	Cr10020132	TRUE	TRUE	TRUE	TRUE	AC_topology	AC_topology	38
44	AtAT1G18940	Cr10008700	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	96
45	AtAT1G19450	Cr10012080	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	65
46	AtAT1G75220	Cr10020200	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	99
47	AtAT1G20950	Cr10008559	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	91
48	AtAT1G76550	Cr10019988	TRUE	TRUE	TRUE	FALSE	Other_topology	Other_topology	BS_scoreNA
49	AtAT1G77740	Cr10019857	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	92
50	AtAT1G21980	Cr10008382	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	80
51	AtAT1G71040	Cr10020039	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
52	AtAT1G23010	Cr10008681	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
53	AtAT1G24150	Cr10008361	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	49
54	AtAT1G70140	Cr10019834	TRUE	TRUE	TRUE	TRUE	AC_topology	AC_topology	70
55	AtAT2G34710	Cr10022629	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	94
56	AtAT1G30490	Cr10008304	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	71
57	AtAT1G30900	Cr10008569	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	54
58	AtAT2G34940	Cr10024993	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
59	AtAT1G50370	Cr10009861 Cr10009924	FALSE	TRUE	TRUE	TRUE	Other_topology	AC_topology	54
60	AtAT3G19980	No_Crub_tips	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	96
61	AtAT3G20560	Cr10013569	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	96
62	AtAT1G50950	Cr10008994	TRUE	TRUE	TRUE	FALSE	Other_topology	Other_topology	BS_scoreNA
63	AtAT3G16180	Cr10013282	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
64	AtAT1G52190	Cr10008522	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	99
65	AtAT1G52260	Cr10008802	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	96
66	AtAT3G16110	Cr10013338	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
67	AtAT1G53700	Cr10008965	TRUE	TRUE	TRUE	TRUE	AC_topology	AC_topology	99
68	AtAT3G14370	Cr10013575	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	70
69	AtAT1G54130	Cr10008896	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	95
70	AtAT3G14050	Cr10013075	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	74
71	AtAT1G55970	Cr10012304	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	97
72	AtAT3G12980	Cr10015198	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
73	AtAT1G10960	Cr10010893	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	78
74	AtAT1G60950	Cr10021110	FALSE	TRUE	TRUE	FALSE	Other_topology	Other_topology	BS_scoreNA
75	AtAT1G12010	Cr10011493	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	47
76	AtAT1G62380	Cr10020664	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	63
77	AtAT1G23210	Cr10010959	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	88
78	AtAT1G70710	Cr10020190	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	60
79	AtAT1G75140	Cr10021419	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	99
80	AtAT1G19370	Cr10012465	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	99
81	AtAT1G75620	Cr10021300	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	91
82	AtAT1G19900	Cr10012343	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	82
83	AtAT1G76310	Cr10020320	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	82
84	AtAT1G20610	Cr10009205	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
85	AtAT1G20930	Cr10009794	TRUE	TRUE	TRUE	TRUE	AB_topology	AB_topology	86
86	AtAT1G76540	Cr10021486	TRUE	TRUE	TRUE	TRUE	AC_topology	AC_topology	46
87	AtAT1G77500	Cr10019768	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
88	AtAT1G21740	Cr10008218	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	99
89	AtAT1G16380	Cr10011761	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	52
90	AtAT1G79400	Cr10021532	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	96
91	AtAT1G80300	Cr10019948	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	96
92	AtAT1G15500	Cr10008598	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	99
93	AtAT1G80520	Cr10020992	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	30
94	AtAT1G15760	Cr10012382	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	38
95	AtAT1G14920	Cr10008833	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	70
96	AtAT2G01570	Cr10018534	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	98
97	AtAT2G02480	Cr10016591	TRUE	TRUE	TRUE	TRUE	AC_topology	AC_topology	80
98	AtAT1G14460	Cr10008136	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
99	AtAT2G15090	Cr10015586	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	90
100	AtAT4G34250	Cr10007737	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	63
101	AtAT4G34480	Cr10005030	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	87
102	AtAT2G16230	Cr10015799	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	57
103	AtAT2G19160	Cr10013892	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	91
104	AtAT4G30060	Cr10007364	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	87
105	AtAT2G21220	Cr10024381	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	58
106	AtAT4G38860	Cr10006088	TRUE	TRUE	FALSE	FALSE	Other_topology	Other_topology	BS_scoreNA
107	AtAT4G39960	Cr10004705	TRUE	TRUE	TRUE	TRUE	AB_topology	AB_topology	64
108	AtAT2G22360	Cr10023192	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	55
109	AtAT2G23520	Cr10024724	TRUE	TRUE	TRUE	FALSE	Other_topology	Other_topology	BS_scoreNA
110	AtAT4G37100	Cr10004103	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	99
111	AtAT4G31230	Cr10006638	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	86
112	AtAT2G24370	Cr10025585	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	99
113	AtAT1G08410	Cr10012258	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	99
114	AtAT2G27200	Cr10022959	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
115	AtAT2G33230	Cr10024824	TRUE	TRUE	TRUE	TRUE	AB_topology	AB_topology	84
116	AtAT1G04610	Cr10011757	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	98
117	AtAT1G04600	Cr10012168	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
118	AtAT2G33240	Cr10022500	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
119	AtAT2G33870	Cr10024667	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	66
120	AtAT1G28550	Cr10012418	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	75
121	AtAT1G30120	Cr10009315	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	92
122	AtAT2G34590	Cr10023696	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	95
123	AtAT1G30760	Cr10008835	TRUE	TRUE	TRUE	TRUE	AC_topology	AC_topology	64
124	AtAT2G34790	Cr10022971	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
125	AtAT1G32470	Cr10010494	FALSE	TRUE	TRUE	TRUE	BC_topology	BC_topology	81
126	AtAT2G35370	Cr10025275	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	65
127	AtAT2G35860	Cr10023217	TRUE	TRUE	TRUE	TRUE	AC_topology	AC_topology	35
128	AtAT3G52370	Cr10017276	TRUE	TRUE	TRUE	TRUE	AB_topology	AB_topology	98
129	AtAT2G36300	Cr10023901	FALSE	TRUE	TRUE	FALSE	Other_topology	BC_topology	100
130	AtAT3G52760	Cr10017890	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	92
131	AtAT2G37360	Cr10024695	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	96
132	AtAT3G53510	Cr10016733	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
133	AtAT2G39480	Cr10025368	TRUE	TRUE	TRUE	TRUE	AB_topology	AB_topology	43
134	AtAT3G55320	Cr10016575	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	98
135	AtAT3G56200	Cr10017295	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	76
136	AtAT2G40420	Cr10023332	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	98
137	AtAT3G57130	Cr10018976	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
138	AtAT2G41370	Cr10023088	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	81
139	AtAT2G42580	Cr10024930	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	99
140	AtAT3G58620	Cr10016767	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
141	AtAT2G42650	Cr10025570	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
142	AtAT3G58660	Cr10019195	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	74
143	AtAT2G44800	Cr10024745	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
144	AtAT3G60290	Cr10018661	FALSE	TRUE	TRUE	TRUE	BC_topology	BC_topology	84
145	AtAT3G60350	Cr10016656	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
146	AtAT2G44900	Cr10025681	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
147	AtAT3G61580	Cr10017244	TRUE	TRUE	TRUE	TRUE	AC_topology	AC_topology	72
148	AtAT2G46210	Cr10023205	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	55
149	AtAT5G15980	Cr10000394	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	94
150	AtAT3G02490	Cr10013150	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
151	AtAT3G03060	Cr10013196	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	98
152	AtAT5G16930	Cr10000434	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	93
153	AtAT5G26800	Cr10002232	TRUE	TRUE	TRUE	TRUE	AB_topology	AB_topology	59
154	AtAT3G05810	Cr10014966	FALSE	TRUE	TRUE	FALSE	Other_topology	BC_topology	74
155	AtAT5G49180	Cr10027546	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	79
156	AtAT3G06830	Cr10015933	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	97
157	AtAT3G08930	Cr10015588	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	90
158	AtAT5G01460	Cr10000756	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	66
159	AtAT5G04160	Cr10001004	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	39
160	AtAT3G10290	Cr10014124	TRUE	TRUE	TRUE	FALSE	Other_topology	Other_topology	BS_scoreNA
161	AtAT3G10550	Cr10013103	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
162	AtAT5G04540	Cr10000224	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	98
163	AtAT1G52910	Cr10010446	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
164	AtAT3G15480	Cr10014764	TRUE	TRUE	TRUE	TRUE	AC_topology	AC_topology	90
165	AtAT3G16650	Cr10013579	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
166	AtAT4G15900	Cr10004707	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
167	AtAT3G17580	Cr10015025	TRUE	TRUE	TRUE	FALSE	Other_topology	Other_topology	BS_scoreNA
168	AtAT1G48330	Cr10011815	FALSE	TRUE	FALSE	FALSE	Other_topology	Other_topology	BS_scoreNA
169	AtAT3G17840	Cr10015974	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
170	AtAT1G48480	Cr10008516	TRUE	TRUE	TRUE	TRUE	AC_topology	AC_topology	43
171	AtAT3G19320	Cr10013659	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	98
172	AtAT1G49750	Cr10008944	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	99
173	AtAT3G19380	Cr10015518	FALSE	TRUE	TRUE	TRUE	BC_topology	BC_topology	52
174	AtAT1G49780	Cr10011740	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	69
175	AtAT1G49840	Cr10008984	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	93
176	AtAT3G19540	Cr10013565	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	95
177	AtAT3G19680	Cr10013544	TRUE	TRUE	TRUE	TRUE	AB_topology	AB_topology	78
178	AtAT1G50040	Cr10009084	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	83
179	AtAT1G50610	Cr10011600	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	95
180	AtAT3G20190	Cr10015098	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	77
181	AtAT3G26340	Cr10017828	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	32
182	AtAT1G13060	Cr10009991	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	80
183	AtAT5G40870	Cr10004696	TRUE	TRUE	TRUE	TRUE	AC_topology	AC_topology	88
184	AtAT3G27190	Cr10017120	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	63
185	AtAT3G44900	Cr10018957	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	69
186	AtAT5G22900	Cr10003669	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
187	AtAT3G46180	Cr10017531	TRUE	TRUE	TRUE	TRUE	AB_topology	AB_topology	35
188	AtAT5G59740	Cr10026717	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	83
189	AtAT5G62680	Cr10028599	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	98
190	AtAT3G47960	Cr10016825	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
191	AtAT5G24390	Cr10000693	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	97
192	AtAT3G49350	Cr10016971	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	94
193	AtAT5G67560	Cr10027882	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	76
194	AtAT3G49870	Cr10018087	FALSE	FALSE	TRUE	FALSE	Other_topology	Other_topology	BS_scoreNA
195	AtAT5G66570	Cr10026754	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	95
196	AtAT3G50820	Cr10017447	FALSE	TRUE	TRUE	TRUE	BC_topology	BC_topology	93
197	AtAT2G38630	Cr10023150	TRUE	TRUE	TRUE	TRUE	AB_topology	AB_topology	73
198	AtAT3G54190	Cr10019560	TRUE	TRUE	TRUE	TRUE	AC_topology	AC_topology	61
199	AtAT2G40800	Cr10023715	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
200	AtAT3G56430	Cr10017250	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	99
201	AtAT2G41620	Cr10024671	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
202	AtAT3G57350	Cr10018922	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	100
203	AtAT2G41770	Cr10022679	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
204	AtAT3G57420	Cr10016725	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	92
205	AtAT3G59850	Cr10017416	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	91
206	AtAT2G43870	Cr10024765	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
207	AtAT3G59970	Cr10016903	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	79
208	AtAT2G44160	Cr10022865	TRUE	TRUE	TRUE	TRUE	AB_topology	AB_topology	46
209	AtAT3G62100	Cr10018117	TRUE	TRUE	TRUE	TRUE	AC_topology	AC_topology	36
210	AtAT2G46990	Cr10024162	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	70
211	AtAT1G01610	Cr10008926	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	72
212	AtAT4G00400	Cr10000780	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	99
213	AtAT4G01950	Cr10000657	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	96
214	AtAT1G02390	Cr10008716	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
215	AtAT1G02810	Cr10011654	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	48
216	AtAT4G02330	Cr10000558	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	62
217	AtAT4G02650	Cr10003318	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	99
218	AtAT1G03050	Cr10008628	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	53
219	AtAT4G09900	Cr10003243	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	75
220	AtAT1G33990	Cr10009609	TRUE	TRUE	TRUE	TRUE	AC_topology	AC_topology	47
221	AtAT4G11350	Cr10000749	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	92
222	AtAT4G23490	Cr10004561	TRUE	TRUE	TRUE	TRUE	Other_topology	Other_topology	BS_scoreNA
223	AtAT4G11800	Cr10000128	TRUE	TRUE	TRUE	TRUE	AC_topology	AC_topology	100
224	AtAT4G23000	Cr10007209	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	97
225	AtAT4G14080	Cr10006945	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	92
226	AtAT3G23770	Cr10015952	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	86
227	AtAT4G14130	Cr10005405	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	59
228	AtAT3G23730	Cr10014298	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	38
229	AtAT3G16860	Cr10013166	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	80
230	AtAT4G16120	Cr10006523	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	39
231	AtAT5G47540	Cr10026719	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	59
232	AtAT4G17270	Cr10005175	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
233	AtAT5G47190	Cr10027056	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	86
234	AtAT4G17560	Cr10005667	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	76
235	AtAT4G17870	Cr10006496	TRUE	TRUE	TRUE	TRUE	AB_topology	AB_topology	81
236	AtAT5G46790	Cr10027058	TRUE	TRUE	TRUE	TRUE	AB_topology	AB_topology	94
237	AtAT4G20170	Cr10004512	TRUE	TRUE	TRUE	TRUE	AB_topology	AB_topology	87
238	AtAT5G44670	Cr10026267	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	93
239	AtAT4G22910	Cr10007689	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	86
240	AtAT4G11920	Cr10000874	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	61
241	AtAT5G49910	Cr10028629	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	74
242	AtAT4G24280	Cr10004245	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
243	AtAT5G52470	Cr10026686	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	81
244	AtAT4G25630	Cr10005269	TRUE	TRUE	TRUE	TRUE	AB_topology	AB_topology	44
245	AtAT4G27020	Cr10004499	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	85
246	AtAT5G54870	Cr10026167	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	93
247	AtAT4G28320	Cr10004854	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
248	AtAT2G20680	Cr10013751	TRUE	TRUE	FALSE	TRUE	AB_topology	AB_topology	60
249	AtAT4G29040	Cr10004747	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	68
250	AtAT2G20140	Cr10013630	FALSE	TRUE	TRUE	TRUE	BC_topology	BC_topology	70
251	AtAT4G32940	Cr10006959	TRUE	TRUE	TRUE	TRUE	AC_topology	AC_topology	65
252	AtAT2G25940	Cr10025418	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
253	AtAT2G26450	Cr10024513	TRUE	TRUE	TRUE	TRUE	AB_topology	AB_topology	71
254	AtAT4G33230	Cr10006885	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	88
255	AtAT2G15300	Cr10013050	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	95
256	AtAT4G34220	Cr10006690	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	99
257	AtAT4G35050	Cr10004773	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
258	AtAT2G16780	Cr10013791	TRUE	TRUE	TRUE	TRUE	AC_topology	AC_topology	62
259	AtAT4G35630	Cr10006606	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	92
260	AtAT2G17630	Cr10015128	TRUE	TRUE	TRUE	TRUE	AC_topology	AC_topology	73
261	AtAT2G17700	Cr10013395	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	74
262	AtAT4G35780	Cr10006473	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	46
263	AtAT4G36110	Cr10006094	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	48
264	AtAT2G18010	Cr10014976	FALSE	TRUE	TRUE	TRUE	BC_topology	BC_topology	20
