	Athl_seq	Crub_seq	Agroup_monophyly	Crub_Cgrand_monophyly	Csat_monophyly	C_group_monophyly	Topology	Topology_loose	Bootstrap_Support
52	Athal__AT1G03540	Crub__Carubv10011274m	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	100
53	Athal__AT1G03560	Crub__Carubv10008524m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	89
54	Athal__AT1G03610	Crub__Carubv10012401m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	66
55	Athal__AT1G03650	Crub__Carubv10010366m	FALSE	TRUE	TRUE	TRUE	Other_topology	Other_topology	BS_scoreNA
56	Athal__AT1G03730	Crub__Carubv10010476m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	72
57	Athal__AT1G03800	Crub__Carubv10011371m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	99
58	Athal__AT1G03810	Crub__Carubv10010570m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	94
59	Athal__AT1G03870	Crub__Carubv10011002m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	93
60	Athal__AT1G03890	Crub__Carubv10012169m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	89
61	Athal__AT1G03950	Crub__Carubv10010296m	FALSE	TRUE	TRUE	TRUE	BC_topology	BC_topology	99
62	Athal__AT1G03982	Crub__Carubv10010963m	TRUE	TRUE	TRUE	TRUE	AC_topology	AC_topology	94
63	Athal__AT1G04010	Crub__Carubv10008666m	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	93
64	Athal__AT1G04040	Crub__Carubv10010000m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	80
65	Athal__AT1G04110	Crub__Carubv10012040m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
66	Athal__AT1G04130	Crub__Carubv10011408m	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	100
67	Athal__AT1G04240	Crub__Carubv10010367m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
68	Athal__AT1G04260	Crub__Carubv10011583m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	90
69	Athal__AT1G04280	Crub__Carubv10012550m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
70	Athal__AT1G04380	Crub__Carubv10012463m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
71	Athal__AT1G04390	Crub__Carubv10012499m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
72	Athal__AT1G04420	Crub__Carubv10009108m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	89
73	Athal__AT1G04445	Crub__Carubv10011479m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	99
74	Athal__AT1G04500	Crub__Carubv10009410m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	99
75	Athal__AT1G04520	Crub__Carubv10009823m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	74
76	Athal__AT1G04555	Crub__Carubv10010566m	TRUE	TRUE	TRUE	FALSE	Other_topology	Other_topology	BS_scoreNA
77	Athal__AT1G04560	Crub__Carubv10012389m	TRUE	TRUE	TRUE	TRUE	AB_topology	AB_topology	33
78	Athal__AT1G04620	Crub__Carubv10011940m	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	94
79	Athal__AT1G04670	Crub__Carubv10012332m	TRUE	TRUE	TRUE	TRUE	AB_topology	AB_topology	76
80	Athal__AT1G04690	Crub__Carubv10009717m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	94
81	Athal__AT1G04700	Crub__Carubv10011648m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
82	Athal__AT1G04780	Crub__Carubv10008526m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
83	Athal__AT1G04840	Crub__Carubv10008505m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
84	Athal__AT1G04850	Crub__Carubv10011080m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	98
85	Athal__AT1G04870	Crub__Carubv10009430m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	46
86	Athal__AT1G05010	Crub__Carubv10009749m	TRUE	TRUE	TRUE	TRUE	AC_topology	AC_topology	72
87	Athal__AT1G05020	Crub__Carubv10008537m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	93
88	Athal__AT1G05190	Crub__Carubv10010237m	TRUE	TRUE	TRUE	FALSE	Other_topology	Other_topology	BS_scoreNA
89	Athal__AT1G05210	Crub__Carubv10010479m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	90
90	Athal__AT1G05260	Crub__Carubv10009829m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	82
91	Athal__AT1G05270	Crub__Carubv10012564m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
92	Athal__AT1G05280	Crub__Carubv10012119m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
93	Athal__AT1G05290	Crub__Carubv10011948m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	95
94	Athal__AT1G05291	Crub__Carubv10011853m	TRUE	TRUE	TRUE	TRUE	AB_topology	AB_topology	66
95	Athal__AT1G05310	Crub__Carubv10011085m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	99
96	Athal__AT1G05360	Crub__Carubv10009268m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	97
97	Athal__AT1G05370	Crub__Carubv10009204m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	95
98	Athal__AT1G05385	Crub__Carubv10011658m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	69
99	Athal__AT1G05420	Crub__Carubv10010861m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	93
100	Athal__AT1G05440	Crub__Carubv10012616m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	99
101	Athal__AT1G05450	Crub__Carubv10010889m	FALSE	TRUE	TRUE	TRUE	Other_topology	Other_topology	BS_scoreNA
102	Athal__AT1G05500	Crub__Carubv10010976m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
103	Athal__AT1G05577	Crub__Carubv10011656m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
104	Athal__AT1G05610	Crub__Carubv10009001m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
105	Athal__AT1G05730	Crub__Carubv10010564m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	63
106	Athal__AT1G05750	Crub__Carubv10011161m	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	100
107	Athal__AT1G05800	Crub__Carubv10010888m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	80
108	Athal__AT1G05805	Crub__Carubv10009382m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	87
109	Athal__AT1G05840	Crub__Carubv10008865m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	89
110	Athal__AT1G05894	Crub__Carubv10011325m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	99
111	Athal__AT1G05910	Crub__Carubv10008115m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
112	Athal__AT1G06040	Crub__Carubv10010113m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	54
113	Athal__AT1G06060	Crub__Carubv10009937m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	94
114	Athal__AT1G06080	Crub__Carubv10012159m	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	100
115	Athal__AT1G06110	Crub__Carubv10012429m	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	100
116	Athal__AT1G06140	Crub__Carubv10011460m	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	100
117	Athal__AT1G06200	Crub__Carubv10012464m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	90
118	Athal__AT1G06210	Crub__Carubv10009444m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	98
119	Athal__AT1G06240	Crub__Carubv10011561m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	87
120	Athal__AT1G06250	Crub__Carubv10012192m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	92
121	Athal__AT1G06260	Crub__Carubv10011832m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	99
122	Athal__AT1G06270	Crub__Carubv10009635m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
123	Athal__AT1G06380	Crub__Carubv10011944m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
124	Athal__AT1G06400	Crub__Carubv10010250m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	70
125	Athal__AT1G06440	Crub__Carubv10012333m	TRUE	TRUE	TRUE	TRUE	AC_topology	AC_topology	55
126	Athal__AT1G06475	Crub__Carubv10010766m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	84
127	Athal__AT1G06520	Crub__Carubv10012249m	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	100
128	Athal__AT1G06540	Crub__Carubv10012251m	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	59
129	Athal__AT1G06560	Crub__Carubv10011768m	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	98
130	Athal__AT1G06690	Crub__Carubv10011808m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
131	Athal__AT1G06710	Crub__Carubv10008194m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
132	Athal__AT1G06730	Crub__Carubv10008753m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
133	Athal__AT1G06760	Crub__Carubv10009975m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	94
134	Athal__AT1G06840	Crub__Carubv10008222m	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	100
135	Athal__AT1G06870	Crub__Carubv10009515m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	89
136	Athal__AT1G06900	Crub__Carubv10012025m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
137	Athal__AT1G06920	Crub__Carubv10011767m	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	100
138	Athal__AT1G06923	Crub__Carubv10011424m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	87
139	Athal__AT1G06930	Crub__Carubv10011615m	TRUE	TRUE	TRUE	FALSE	Other_topology	AC_topology	40
140	Athal__AT1G06950	Crub__Carubv10008186m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
141	Athal__AT1G07000	Crub__Carubv10011870m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	63
142	Athal__AT1G07020	Crub__Carubv10012654m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	91
143	Athal__AT1G07030	Crub__Carubv10011609m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	82
144	Athal__AT1G07040	Crub__Carubv10012278m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
145	Athal__AT1G07080	Crub__Carubv10010028m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
146	Athal__AT1G07090	Crub__Carubv10010340m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	80
147	Athal__AT1G07120	Crub__Carubv10012267m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	95
148	Athal__AT1G07130	Crub__Carubv10010524m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	88
149	Athal__AT1G07160	Crub__Carubv10009317m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	95
150	Athal__AT1G07210	Crub__Carubv10009750m	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	98
151	Athal__AT1G07230	Crub__Carubv10008826m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	89
152	Athal__AT1G07250	Crub__Carubv10009025m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	76
153	Athal__AT1G07310	Crub__Carubv10009572m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
154	Athal__AT1G07330	Crub__Carubv10011307m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
155	Athal__AT1G07340	Crub__Carubv10008940m	TRUE	TRUE	TRUE	FALSE	AB_topology	AB_topology	29
156	Athal__AT1G07430	Crub__Carubv10009150m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	97
157	Athal__AT1G07460	Crub__Carubv10010864m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	94
158	Athal__AT1G07590	Crub__Carubv10008810m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	51
159	Athal__AT1G07645	Crub__Carubv10012292m	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	91
160	Athal__AT1G07740	Crub__Carubv10007904m	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	100
161	Athal__AT1G07850	Crub__Carubv10011500m	TRUE	TRUE	TRUE	TRUE	AB_topology	AB_topology	80
162	Athal__AT1G07880	Crub__Carubv10010840m	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	99
163	Athal__AT1G07970	Crub__Carubv10008478m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
164	Athal__AT1G07985	Crub__Carubv10009702m	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	95
165	Athal__AT1G08030	Crub__Carubv10011453m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	97
166	Athal__AT1G08035	Crub__Carubv10012236m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	65
167	Athal__AT1G08065	Crub__Carubv10012428m	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	100
168	Athal__AT1G08070	Crub__Carubv10008399m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
169	Athal__AT1G08080	Crub__Carubv10012300m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
170	Athal__AT1G08130	Crub__Carubv10008341m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
171	Athal__AT1G08140	Crub__Carubv10012247m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	97
172	Athal__AT1G08150	Crub__Carubv10012128m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	98
173	Athal__AT1G08160	Crub__Carubv10010243m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	98
174	Athal__AT1G08170	Crub__Carubv10011530m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
175	Athal__AT1G08180	Crub__Carubv10010984m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	99
176	Athal__AT1G08190	Crub__Carubv10011806m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
177	Athal__AT1G08210	Crub__Carubv10008955m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
178	Athal__AT1G08220	Crub__Carubv10009984m	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	81
179	Athal__AT1G08280	Crub__Carubv10009362m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	52
180	Athal__AT1G08315	Crub__Carubv10011052m	TRUE	TRUE	TRUE	FALSE	AB_topology	AB_topology	79
181	Athal__AT1G08340	Crub__Carubv10009491m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
182	Athal__AT1G08380	Crub__Carubv10010597m	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	99
183	Athal__AT1G08390	Crub__Carubv10010612m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	47
184	Athal__AT1G08400	Crub__Carubv10008321m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
185	Athal__AT1G08460	Crub__Carubv10009385m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	90
186	Athal__AT1G08470	Crub__Carubv10009397m	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	87
187	Athal__AT1G08490	Crub__Carubv10012604m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
188	Athal__AT1G08500	Crub__Carubv10010188m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	45
189	Athal__AT1G08510	Crub__Carubv10009296m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	93
190	Athal__AT1G08520	Crub__Carubv10008387m	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	97
191	Athal__AT1G08530	Crub__Carubv10010041m	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	70
192	Athal__AT1G08590	Crub__Carubv10008171m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
193	Athal__AT1G08640	Crub__Carubv10009875m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	99
194	Athal__AT1G08700	Crub__Carubv10009057m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
195	Athal__AT1G08760	Crub__Carubv10008392m	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	100
196	Athal__AT1G08790	Crub__Carubv10011157m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	83
197	Athal__AT1G08940	Crub__Carubv10009965m	TRUE	TRUE	TRUE	TRUE	AC_topology	AC_topology	82
198	Athal__AT1G08960	Crub__Carubv10008760m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	99
199	Athal__AT1G09010	Crub__Carubv10008228m	TRUE	TRUE	TRUE	TRUE	AC_topology	AC_topology	66
200	Athal__AT1G09155	Crub__Carubv10009939m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	99
201	Athal__AT1G09220	Crub__Carubv10012313m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	94
202	Athal__AT1G09230	Crub__Carubv10011629m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
203	Athal__AT1G09240	Crub__Carubv10009752m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	98
204	Athal__AT1G09250	Crub__Carubv10010314m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	89
205	Athal__AT1G09280	Crub__Carubv10012485m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	73
206	Athal__AT1G09290	Crub__Carubv10009568m	FALSE	TRUE	TRUE	TRUE	BC_topology	BC_topology	90
207	Athal__AT1G09320	Crub__Carubv10008882m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	92
208	Athal__AT1G09330	Crub__Carubv10012409m	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	93
209	Athal__AT1G09340	Crub__Carubv10009455m	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	100
210	Athal__AT1G09360	Crub__Carubv10011513m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	77
211	Athal__AT1G09370	Crub__Carubv10010434m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	92
212	Athal__AT1G09380	Crub__Carubv10009476m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	98
213	Athal__AT1G09390	Crub__Carubv10011694m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
214	Athal__AT1G09460	Crub__Carubv10009486m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	90
215	Athal__AT1G09540	Crub__Carubv10009497m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	95
216	Athal__AT1G09580	Crub__Carubv10010159m	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	76
217	Athal__AT1G09610	Crub__Carubv10011736m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	97
218	Athal__AT1G09630	Crub__Carubv10010267m	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	62
219	Athal__AT1G09660	Crub__Carubv10009882m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	85
220	Athal__AT1G09750	Crub__Carubv10008880m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
221	Athal__AT1G09760	Crub__Carubv10012046m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	53
222	Athal__AT1G09770	Crub__Carubv10008427m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
223	Athal__AT1G09790	Crub__Carubv10011331m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	58
224	Athal__AT1G09800	Crub__Carubv10009493m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	89
225	Athal__AT1G09812	Crub__Carubv10010622m	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	73
226	Athal__AT1G09815	Crub__Carubv10010654m	TRUE	TRUE	TRUE	TRUE	AC_topology	AC_topology	45
227	Athal__AT1G09830	Crub__Carubv10008837m	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	100
228	Athal__AT1G09850	Crub__Carubv10009056m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	99
229	Athal__AT1G09860	Crub__Carubv10011209m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	93
230	Athal__AT1G09880	Crub__Carubv10008518m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	78
