"","Agroup_monophyly","Crub_Cgrand_monophyly","Csat_monophyly","C_group_monophyly","Topology","Bootstrap_Support","Athal_sister","CrubCgra_sister"
"25","TRUE","TRUE","TRUE","TRUE","BC_topology","99","Alyr__16039054","Csativa__XP_010480882 Csativa__XP_010474646 Csativa__XP_010457205"
"26","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16038389","Csativa__XP_010457206 Csativa__XP_010474647 Csativa__XP_010480887"
"27","TRUE","TRUE","TRUE","TRUE","BC_topology","87","Alyr__16052219","Csativa__XP_010480914 Csativa__XP_010474650"
"28","TRUE","TRUE","TRUE","TRUE","BC_topology","98","Alyr__16036435","Csativa__XP_010474651 Csativa__XP_010457212"
"29","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16040892","Csativa__XP_010474653 Csativa__XP_010480945 Csativa__XP_010457215"
"30","TRUE","TRUE","TRUE","TRUE","BC_topology","58","Alyr__16037968","Csativa__XP_010457223"
"31","TRUE","TRUE","TRUE","TRUE","BC_topology","80","Alyr__16040016","Csativa__XP_010480975 Csativa__XP_010457224 Csativa__XP_010474660"
"32","TRUE","TRUE","TRUE","TRUE","BC_topology","86","Alyr__16058939","Csativa__XP_010481116 Csativa__XP_010457243 Csativa__XP_010474671"
"33","TRUE","TRUE","TRUE","TRUE","BC_topology","93","Alyr__16063974","Csativa__XP_010481144"
"34","TRUE","TRUE","TRUE","TRUE","BC_topology","92","Alyr__16062270","Csativa__XP_010481191 Csativa__XP_010474849 Csativa__XP_010457255"
"35","TRUE","TRUE","TRUE","TRUE","BC_topology","99","Alyr__16041618","Csativa__XP_010457266"
"36","TRUE","TRUE","TRUE","TRUE","BC_topology","32","Alyr__16064781","Csativa__XP_010457269 Csativa__XP_010481251"
"37","TRUE","TRUE","TRUE","TRUE","BC_topology","98","Alyr__16039024","Csativa__XP_010481252 Csativa__XP_010474856 Csativa__XP_010457271"
"38","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16055644","Csativa__XP_010481272 Csativa__XP_010457280 Csativa__XP_010474867"
"39","TRUE","TRUE","TRUE","TRUE","BC_topology","99","Alyr__16060030","Csativa__XP_010474908 Csativa__XP_010457314 Csativa__XP_010481514"
"40","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16063841","Csativa__XP_010474911 Csativa__XP_010457317"
"41","TRUE","TRUE","TRUE","TRUE","BC_topology","96","Alyr__16052331","Csativa__XP_010481572 Csativa__XP_010474919"
"42","TRUE","TRUE","TRUE","TRUE","BC_topology","90","Alyr__16049800","Csativa__XP_010481613 Csativa__XP_010474925"
"43","TRUE","TRUE","TRUE","TRUE","BC_topology","57","Alyr__16043138","Csativa__XP_010474924 Csativa__XP_010474913 Csativa__XP_010481642"
"44","TRUE","TRUE","TRUE","FALSE","Other_topology","BS_scoreNA","Alyr__16056948","Bstri__Bostr.26675s0433"
"45","TRUE","TRUE","TRUE","TRUE","BC_topology","83","Alyr__16045264","Csativa__XP_010481801"
"46","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16047565","Csativa__XP_010480330 Csativa__XP_010501301 Csativa__XP_010462547"
"47","TRUE","FALSE","TRUE","FALSE","Other_topology","BS_scoreNA","Alyr__16039748","Esal__Thhalv10009199m"
"48","TRUE","TRUE","TRUE","TRUE","BC_topology","79","Alyr__16054242","Csativa__XP_010457343 Csativa__XP_010481925"
"49","TRUE","TRUE","TRUE","TRUE","BC_topology","71","Alyr__16051174","Csativa__XP_010474961 Csativa__XP_010481933 Csativa__XP_010457344"
"50","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16046535","Csativa__XP_010481954"
"51","TRUE","TRUE","TRUE","TRUE","BC_topology","96","Alyr__16040847","Csativa__XP_010457359 Csativa__XP_010474976"
"52","TRUE","TRUE","TRUE","FALSE","Other_topology","BS_scoreNA","Alyr__16042944","Bstri__Bostr.26675s0364"
"53","TRUE","TRUE","TRUE","TRUE","BC_topology","89","Alyr__16054236","Csativa__XP_010482247"
"54","TRUE","TRUE","TRUE","TRUE","BC_topology","66","Alyr__16061085","Csativa__XP_010482279 Csativa__XP_010457367"
"55","FALSE","TRUE","TRUE","TRUE","Other_topology","BS_scoreNA","Crub__Carubv10010366m Cgrand__Cagra.0897s0018 Csativa__XP_010474995 Csativa__XP_010457377","Csativa__XP_010474995 Csativa__XP_010457377"
"56","TRUE","TRUE","TRUE","TRUE","BC_topology","72","Alyr__16045614","Csativa__XP_010475000 Csativa__XP_010457385 Csativa__XP_010482451"
"57","TRUE","TRUE","TRUE","TRUE","BC_topology","99","Alyr__16051247","Csativa__XP_010482529 Csativa__XP_010457396 Csativa__XP_010475009"
"58","TRUE","TRUE","TRUE","TRUE","BC_topology","94","Alyr__16056735","Csativa__XP_010482539 Csativa__XP_010457397 Csativa__XP_010475010"
"59","TRUE","TRUE","TRUE","TRUE","BC_topology","93","Alyr__16042321","Csativa__XP_010457404 Csativa__XP_010482678 Csativa__XP_010475017"
"60","TRUE","TRUE","TRUE","TRUE","BC_topology","89","Alyr__16036008","Csativa__XP_010457408 Csativa__XP_010475020"
"61","FALSE","TRUE","TRUE","TRUE","BC_topology","99","Many_sisters","Csativa__XP_010475027 Csativa__XP_010457417 Csativa__XP_010482876"
"62","TRUE","TRUE","TRUE","TRUE","AC_topology","94","Alyr__16048582","Csativa__XP_010457421 Csativa__XP_010482929 Csativa__XP_010475033"
"63","TRUE","TRUE","TRUE","FALSE","Other_topology","BS_scoreNA","Alyr__16042281","Bstri__Bostr.26675s0353"
"64","TRUE","TRUE","TRUE","TRUE","BC_topology","80","Alyr__16041621","Csativa__XP_010475042 Csativa__XP_010457427 Csativa__XP_010457428"
"65","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16043999","Csativa__XP_010457444"
"66","TRUE","TRUE","TRUE","FALSE","Other_topology","BS_scoreNA","Alyr__16055979","Csativa__XP_010475057 Bstri__Bostr.26675s0342"
"67","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16051474","Csativa__XP_010475074 Csativa__XP_010483303 Csativa__XP_010457462"
"68","TRUE","TRUE","TRUE","TRUE","BC_topology","90","Alyr__16064771","Csativa__XP_010475076 Csativa__XP_010483331 Csativa__XP_010457464"
"69","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16040511","Csativa__XP_010457467 Csativa__XP_010457468 Csativa__XP_010483366"
"70","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16054472","Csativa__XP_010457480"
"71","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16039549","Csativa__XP_010475090 Csativa__XP_010475091"
"72","TRUE","TRUE","TRUE","TRUE","BC_topology","89","Alyr__16064318","Csativa__XP_010483764"
"73","TRUE","TRUE","TRUE","TRUE","BC_topology","99","Alyr__16037452","Csativa__XP_010483803 Csativa__XP_010462555 Csativa__XP_010475102"
"74","TRUE","TRUE","TRUE","TRUE","BC_topology","99","Alyr__16058044","Csativa__XP_010483881 Csativa__XP_010483873 Csativa__XP_010475109"
"75","TRUE","TRUE","TRUE","TRUE","BC_topology","74","Alyr__16044791","Csativa__XP_010483898"
"76","TRUE","TRUE","TRUE","FALSE","Other_topology","BS_scoreNA","Alyr__16055003","Many_sisters"
"77","TRUE","TRUE","TRUE","TRUE","AB_topology","33","Alyr__16046588","Csativa__XP_010475117 Csativa__XP_010483949 Csativa__XP_010457507"
"78","TRUE","TRUE","TRUE","FALSE","Other_topology","BS_scoreNA","Alyr__16041015","Bstri__Bostr.25219s0512 Csativa__XP_010475124"
"79","TRUE","TRUE","TRUE","TRUE","AB_topology","76","Alyr__16059626","Csativa__XP_010475132 Csativa__XP_010457525"
"80","TRUE","TRUE","TRUE","TRUE","BC_topology","94","Alyr__16060458","Csativa__XP_010457529 Csativa__XP_010457528"
"81","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16050761","Csativa__XP_010484139 Csativa__XP_010475135"
"82","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16038330","Csativa__XP_010484223 Csativa__XP_010457537 Csativa__XP_010475145"
"83","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16039574","Csativa__XP_010475151 Csativa__XP_010484317"
"84","TRUE","TRUE","TRUE","TRUE","BC_topology","98","Alyr__16034999","Csativa__XP_010457544 Csativa__XP_010484327 Csativa__XP_010475152"
"85","TRUE","TRUE","TRUE","TRUE","BC_topology","93","Alyr__16049198","Csativa__XP_010457546 Csativa__XP_010484341"
"86","TRUE","TRUE","TRUE","TRUE","AC_topology","72","Alyr__16065839","Csativa__XP_010457570 Csativa__XP_010475176"
"87","TRUE","TRUE","TRUE","TRUE","BC_topology","93","Alyr__16037668","Csativa__XP_010457575"
"88","TRUE","TRUE","TRUE","FALSE","Other_topology","BS_scoreNA","Alyr__16047963","Bstri__Bostr.25219s0451"
"89","TRUE","TRUE","TRUE","TRUE","BC_topology","90","Alyr__16048343","Csativa__XP_010484818 Csativa__XP_010475203"
"90","TRUE","TRUE","TRUE","TRUE","BC_topology","82","Alyr__16054661","Csativa__XP_010484852 Csativa__XP_010475209"
"91","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16041246","Csativa__XP_010457609 Csativa__XP_010484858"
"92","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16048490","Csativa__XP_010457610 Csativa__XP_010475211 Csativa__XP_010475212"
"93","TRUE","TRUE","TRUE","TRUE","BC_topology","95","Alyr__16039484","Csativa__XP_010457611 Csativa__XP_010484864 Csativa__XP_010480351"
"94","TRUE","TRUE","TRUE","TRUE","AB_topology","66","Alyr__16046735","Csativa__XP_010484871 Csativa__XP_010475213 Csativa__XP_010457613"
"95","TRUE","TRUE","TRUE","TRUE","BC_topology","99","Alyr__16061737","Csativa__XP_010484902 Csativa__XP_010475224 Csativa__XP_010457617"
"96","TRUE","TRUE","TRUE","TRUE","BC_topology","97","Alyr__16052954","Csativa__XP_010475227 Csativa__XP_010484926"
"97","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16060735","Csativa__XP_010457623 Csativa__XP_010475228 Csativa__XP_010484935"
"98","TRUE","TRUE","TRUE","TRUE","BC_topology","92","Alyr__16061982","Csativa__XP_010457624 Csativa__XP_010484941 Csativa__XP_010475232"
"99","TRUE","TRUE","TRUE","TRUE","BC_topology","93","Alyr__16035525","Csativa__XP_010457630 Csativa__XP_010475233 Csativa__XP_010484952"
"100","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16050671","Csativa__XP_010475239 Csativa__XP_010484984 Csativa__XP_010457634"
"101","FALSE","TRUE","TRUE","TRUE","Other_topology","BS_scoreNA","Many_sisters","Csativa__XP_010485002 Csativa__XP_010457635 Csativa__XP_010480353"
"102","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16049957","Csativa__XP_010457638 Csativa__XP_010475246"
"103","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16040060","Csativa__XP_010485074 Csativa__XP_010475258 Csativa__XP_010457646"
"104","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16047516","Csativa__XP_010475260 Csativa__XP_010485108 Csativa__XP_010485103"
"105","TRUE","TRUE","TRUE","TRUE","BC_topology","63","Alyr__16056859","Csativa__XP_010475290 Csativa__XP_010485260 Csativa__XP_010457666"
"106","TRUE","TRUE","TRUE","FALSE","Other_topology","BS_scoreNA","Alyr__16038817","Csativa__XP_010457671 Csativa__XP_010475291 Bstri__Bostr.25219s0393"
"107","TRUE","TRUE","TRUE","TRUE","BC_topology","82","Alyr__16038106","Csativa__XP_010475298 Csativa__XP_010457679"
"108","TRUE","TRUE","TRUE","TRUE","BC_topology","87","Alyr__16038708","Csativa__XP_010475300 Csativa__XP_010457680 Csativa__XP_010485336"
"109","TRUE","TRUE","TRUE","TRUE","BC_topology","89","Alyr__16063369","Csativa__XP_010457688"
"110","TRUE","TRUE","TRUE","TRUE","BC_topology","96","Alyr__16057979","Csativa__XP_010457701 Csativa__XP_010475311 Csativa__XP_010485499"
"111","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16063890","Csativa__XP_010475315"
"112","TRUE","TRUE","TRUE","TRUE","BC_topology","57","Alyr__16042847","Csativa__XP_010475325 Csativa__XP_010457718 Csativa__XP_010485788"
"113","TRUE","TRUE","TRUE","TRUE","BC_topology","94","Alyr__16041633","Csativa__XP_010475327 Csativa__XP_010457721 Csativa__XP_010485766"
"114","TRUE","TRUE","TRUE","FALSE","Other_topology","BS_scoreNA","Alyr__16064677","Bstri__Bostr.25219s0352"
"115","TRUE","TRUE","TRUE","FALSE","Other_topology","BS_scoreNA","Alyr__16056155","Bstri__Bostr.25219s0349"
"116","TRUE","TRUE","TRUE","FALSE","Other_topology","BS_scoreNA","Alyr__16065738","Bstri__Bostr.25219s0344"
"117","TRUE","TRUE","TRUE","TRUE","BC_topology","83","Alyr__16059155","Csativa__XP_010485868 Csativa__XP_010475348 Csativa__XP_010457747"
"118","TRUE","TRUE","TRUE","TRUE","BC_topology","96","Alyr__16050703","Csativa__XP_010457748"
"119","TRUE","TRUE","TRUE","TRUE","BC_topology","87","Alyr__16056600","Csativa__XP_010485907 Csativa__XP_010485891 Csativa__XP_010485899"
"120","TRUE","TRUE","TRUE","TRUE","BC_topology","92","Alyr__16066185","Csativa__XP_010457749 Csativa__XP_010475356 Csativa__XP_010475357"
"121","TRUE","TRUE","TRUE","TRUE","BC_topology","99","Alyr__16037363","Csativa__XP_010462580 Csativa__XP_010501342 Csativa__XP_010475355"
"122","TRUE","TRUE","TRUE","TRUE","BC_topology","74","Alyr__16046696","Csativa__XP_010475353 Csativa__XP_010475354 Csativa__XP_010485931"
"123","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16036630","Csativa__XP_010486040 Csativa__XP_010457763 Csativa__XP_010475365"
"124","TRUE","TRUE","TRUE","TRUE","BC_topology","70","Alyr__16050170","Csativa__XP_010457766 Csativa__XP_010486062 Csativa__XP_010475367"
"125","TRUE","TRUE","TRUE","TRUE","AC_topology","55","Alyr__16035962","Csativa__XP_010475375 Csativa__XP_010486111"
"126","TRUE","TRUE","TRUE","TRUE","BC_topology","84","Alyr__16037264","Csativa__XP_010475379 Csativa__XP_010486174 Csativa__XP_010457775"
"127","TRUE","TRUE","TRUE","FALSE","Other_topology","BS_scoreNA","Alyr__16057593","Bstri__Bostr.25219s0304 Csativa__XP_010486249"
"128","TRUE","TRUE","TRUE","FALSE","Other_topology","BS_scoreNA","Alyr__16033870","Bstri__Bostr.25219s0302 Csativa__XP_010457783 Csativa__XP_010475389 Csativa__XP_010486299"
"129","TRUE","TRUE","TRUE","FALSE","Other_topology","BS_scoreNA","Alyr__16046641","Bstri__Bostr.25219s0300"
"130","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16040492","Csativa__XP_010457810"
"131","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16064094","Csativa__XP_010486543 Csativa__XP_010486551 Csativa__XP_010486537"
"132","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16060574","Csativa__XP_010475418"
"133","TRUE","TRUE","TRUE","TRUE","BC_topology","94","Alyr__16040472","Csativa__XP_010457824 Csativa__XP_010475419 Csativa__XP_010486562"
"134","TRUE","TRUE","TRUE","FALSE","Other_topology","BS_scoreNA","Alyr__16065605","Bstri__Bostr.25219s0276"
"135","TRUE","TRUE","TRUE","TRUE","BC_topology","89","Alyr__16061043","Csativa__XP_010486791"
"136","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16054376","Csativa__XP_010457846 Csativa__XP_010457845"
"137","TRUE","TRUE","TRUE","FALSE","Other_topology","BS_scoreNA","Alyr__16038460","Bstri__Bostr.25219s0268 Csativa__XP_010475442 Csativa__XP_010501348 Csativa__XP_010457847"
"138","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16051675","Csativa__XP_010486849 Csativa__XP_010457849 Csativa__XP_010475443"
"139","TRUE","TRUE","TRUE","FALSE","Other_topology","BS_scoreNA","Alyr__16061023","Csativa__XP_010486901 Csativa__XP_010475444 Csativa__XP_010457852 Alyr__16061023 Athal__AT1G06930"
"140","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16052460","Csativa__XP_010486911 Csativa__XP_010457853"
"141","TRUE","TRUE","TRUE","TRUE","BC_topology","63","Alyr__16049201","Csativa__XP_010486978"
"142","TRUE","TRUE","TRUE","TRUE","BC_topology","91","Alyr__16043070","Csativa__XP_010457862 Csativa__XP_010487010 Csativa__XP_010475453"
"143","TRUE","TRUE","TRUE","TRUE","BC_topology","82","Alyr__16051377","Csativa__XP_010475455 Csativa__XP_010487033 Csativa__XP_010457865"
"144","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16042748","Csativa__XP_010475456 Csativa__XP_010457867"
"145","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16058635","Csativa__XP_010487104 Csativa__XP_010457871 Csativa__XP_010475460"
"146","TRUE","TRUE","TRUE","TRUE","BC_topology","80","Alyr__16060859","Csativa__XP_010457872 Csativa__XP_010487116 Csativa__XP_010475462"
"147","TRUE","TRUE","TRUE","TRUE","BC_topology","95","Alyr__16053330","Csativa__XP_010475463"
"148","TRUE","TRUE","TRUE","TRUE","BC_topology","88","Alyr__16042185","Csativa__XP_010487124 Csativa__XP_010457876"
"149","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16043488","Csativa__XP_010457883 Csativa__XP_010487195 Csativa__XP_010475469"
"150","TRUE","TRUE","TRUE","FALSE","Other_topology","BS_scoreNA","Alyr__16046732","Bstri__Bostr.25219s0234 Csativa__XP_010487230 Csativa__XP_010457888 Csativa__XP_010475475"
"151","TRUE","TRUE","TRUE","TRUE","BC_topology","89","Alyr__16060695","Csativa__XP_010457889"
"152","TRUE","TRUE","TRUE","TRUE","BC_topology","76","Alyr__16044211","Csativa__XP_010457891"
"153","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16049194","Csativa__XP_010457903 Csativa__XP_010487318"
"154","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16052243","Csativa__XP_010457904 Csativa__XP_010475488 Csativa__XP_010487345"
"155","TRUE","TRUE","TRUE","FALSE","AB_topology","29","Alyr__16039275","Many_sisters"
"156","TRUE","TRUE","TRUE","TRUE","BC_topology","97","Alyr__16047980","Csativa__XP_010487459 Csativa__XP_010457921"
"157","TRUE","TRUE","TRUE","TRUE","BC_topology","94","Alyr__16043289","Csativa__XP_010480377 Csativa__XP_010501355 Csativa__XP_010462590"
"158","TRUE","TRUE","TRUE","TRUE","BC_topology","51","Alyr__16037097","Csativa__XP_010487714"
"159","TRUE","TRUE","TRUE","FALSE","Other_topology","BS_scoreNA","Alyr__16050727","Csativa__XP_010457958 Csativa__XP_010475533 Bstri__Bostr.25219s0195"
"160","TRUE","TRUE","TRUE","FALSE","Other_topology","BS_scoreNA","Alyr__16058068","Bstri__Bostr.25219s0183 Csativa__XP_010475546 Csativa__XP_010487936"
"161","TRUE","TRUE","TRUE","TRUE","AB_topology","80","Alyr__16043393","Csativa__XP_010488062 Csativa__XP_010475561 Csativa__XP_010457994"
"162","TRUE","TRUE","TRUE","FALSE","Other_topology","BS_scoreNA","Alyr__16034178","Bstri__Bostr.25219s0161 Csativa__XP_010475563"
"163","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16065384","Csativa__XP_010488210"
"164","TRUE","TRUE","TRUE","FALSE","Other_topology","BS_scoreNA","Alyr__16058064","Bstri__Bostr.25219s0148 Csativa__XP_010458018 Csativa__XP_010488231 Csativa__XP_010475581"
"165","TRUE","TRUE","TRUE","TRUE","BC_topology","97","Alyr__16051033","Csativa__XP_010488273 Csativa__XP_010458022"
"166","TRUE","TRUE","TRUE","TRUE","BC_topology","37","Alyr__16048447","Csativa__XP_010488297"
"167","TRUE","TRUE","TRUE","FALSE","Other_topology","BS_scoreNA","Alyr__16062677","Bstri__Bostr.25219s0141"
"168","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16055563","Csativa__XP_010475598"
"169","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16035088","Csativa__XP_010458032 Csativa__XP_010488326 Csativa__XP_010475599"
"170","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16053617","Csativa__XP_010458041"
"171","TRUE","TRUE","TRUE","TRUE","BC_topology","97","Alyr__16051843","Csativa__XP_010480387"
"172","TRUE","TRUE","TRUE","TRUE","BC_topology","98","Alyr__16048332","Csativa__XP_010462597"
"173","TRUE","TRUE","TRUE","TRUE","BC_topology","98","Alyr__16055612","Csativa__XP_010458047 Csativa__XP_010488516 Csativa__XP_010475606"
"174","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16061854","Csativa__XP_010475607 Csativa__XP_010488523 Csativa__XP_010458048"
"175","TRUE","TRUE","TRUE","TRUE","BC_topology","99","Alyr__16039055","Csativa__XP_010488535 Csativa__XP_010458049 Csativa__XP_010475608"
"176","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16061210","Csativa__XP_010458050"
"177","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16035135","Csativa__XP_010458053"
"178","TRUE","TRUE","TRUE","FALSE","Other_topology","BS_scoreNA","Alyr__16060736","Csativa__XP_010458054 Csativa__XP_010475612 Csativa__XP_010488594 Bstri__Bostr.25219s0123"
"179","TRUE","TRUE","TRUE","TRUE","BC_topology","52","Alyr__16060715","Csativa__XP_010488659 Csativa__XP_010458061 Csativa__XP_010475618"
"180","TRUE","TRUE","TRUE","FALSE","AB_topology","79","Alyr__16038219","Alyr__16038219 Athal__AT1G08315 Bstri__Bostr.25219s0113"
"181","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16038682","Csativa__XP_010475632 Csativa__XP_010488728 Csativa__XP_010458070"
"182","TRUE","TRUE","TRUE","FALSE","Other_topology","BS_scoreNA","Alyr__16033925","Bstri__Bostr.25219s0107 Csativa__XP_010475635 Csativa__XP_010488808 Csativa__XP_010458074"
"183","TRUE","TRUE","TRUE","TRUE","BC_topology","47","Alyr__16052164","Csativa__XP_010488813 Csativa__XP_010475637 Csativa__XP_010458076"
"184","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16039885","Csativa__XP_010488833"
"185","TRUE","TRUE","TRUE","TRUE","BC_topology","90","Alyr__16042415","Csativa__XP_010488892"
"186","TRUE","TRUE","TRUE","FALSE","Other_topology","BS_scoreNA","Alyr__16039008","Csativa__XP_010475646 Csativa__XP_010488915 Bstri__Bostr.25219s0097"
"187","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16061939","Csativa__XP_010488938"
"188","TRUE","TRUE","TRUE","TRUE","BC_topology","45","Alyr__16038414","Csativa__XP_010501380 Csativa__XP_010458089 Csativa__XP_010475650"
"189","TRUE","TRUE","TRUE","TRUE","BC_topology","93","Alyr__16054389","Csativa__XP_010488947"
"190","TRUE","TRUE","TRUE","FALSE","Other_topology","BS_scoreNA","Alyr__16039615","Bstri__Bostr.25219s0092"
"191","TRUE","TRUE","TRUE","FALSE","Other_topology","BS_scoreNA","Alyr__16054178","Csativa__XP_010475653 Csativa__XP_010488969 Csativa__XP_010458092 Bstri__Bostr.25219s0091"
"192","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16036296","Csativa__XP_010475663"
"193","TRUE","TRUE","TRUE","TRUE","BC_topology","99","Alyr__16042395","Csativa__XP_010475672 Csativa__XP_010458109"
"194","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16064147","Csativa__XP_010458122"
"195","TRUE","TRUE","TRUE","FALSE","Other_topology","BS_scoreNA","Alyr__16059601","Bstri__Bostr.25219s0070 Csativa__XP_010489346"
"196","TRUE","TRUE","TRUE","TRUE","BC_topology","83","Alyr__16044103","Csativa__XP_010458142 Csativa__XP_010475692"
"197","TRUE","TRUE","TRUE","TRUE","AC_topology","82","Alyr__16055660","Csativa__XP_010475712 Csativa__XP_010458160 Csativa__XP_010489549"
