Analysis,Order,Athal_seq,Crub_seq,Agroup_monophyly,Crubub_Cgrand_monophyly,Csat_monophyly,C_group_monophyly,Topology,Topology_loose,Bootstrap_Support,Scaffold,Start,Stop,Middle
Nuclear,6,Athal__AT1G01280,Crub__Carubv10011315m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,100,1,335149,336776,335962.5
Nuclear,5,Athal__AT1G01250,Crub__Carubv10010347m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,93,1,343835,344713,344274
Nuclear,4,Athal__AT1G01230,Crub__Carubv10010529m,TRUE,TRUE,TRUE,FALSE,AB_topology,AB_topology,37,1,350011,352129,351070
Nuclear,3,Athal__AT1G01200,Crub__Carubv10010167m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,99,1,356763,358244,357503.5
Nuclear,2,Athal__AT1G01120,Crub__Carubv10012263m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,82,1,384710,386296,385503
Nuclear,1,Athal__AT1G01090,Crub__Carubv10009201m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,77,1,395320,397501,396410.5
Nuclear,23,Athal__AT1G02260,Crub__Carubv10008913m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,97,1,458891,461279,460085
Nuclear,24,Athal__AT1G02310,Crub__Carubv10011405m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,99,1,476531,478886,477708.5
Nuclear,25,Athal__AT1G02330,Crub__Carubv10009977m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,99,1,481825,483558,482691.5
Nuclear,26,Athal__AT1G02335,Crub__Carubv10010261m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,100,1,483703,484795,484249
Nuclear,27,Athal__AT1G02370,Crub__Carubv10008848m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,87,1,494692,496714,495703
Nuclear,28,Athal__AT1G02380,Crub__Carubv10010187m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,98,1,497977,500069,499023
Nuclear_RetDups,214,AtAT1G02390,Cr10008716,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,100,1,502657,505307,503982
Nuclear,29,Athal__AT1G02400,Crub__Carubv10009706m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,100,1,512463,515052,513757.5
Nuclear,30,Athal__AT1G02420,Crub__Carubv10012086m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,58,1,519076,520560,519818
Nuclear,31,Athal__AT1G02450,Crub__Carubv10010607m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,78,1,522034,522625,522329.5
Nuclear,32,Athal__AT1G02610,Crub__Carubv10010204m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,86,1,561491,564523,563007
Nuclear,33,Athal__AT1G02660,Crub__Carubv10011093m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,93,1,590608,593156,591882
Nuclear,4954,Athal__AT5G38700,Crub__Carubv10010400m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,99,1,598778,599329,599053.5
Nuclear,5488,Athal__AT5G61710,Crub__Carubv10011230m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,97,1,601835,602500,602167.5
Nuclear,34,Athal__AT1G02700,Crub__Carubv10010109m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,92,1,607809,608971,608390
Nuclear,35,Athal__AT1G02790,Crub__Carubv10012094m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,99,1,643553,645100,644326.5
Nuclear_RetDups,1,AtAT1G02800,Cr10011914,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,95,1,646463,649127,647795
Nuclear_RetDups,215,AtAT1G02810,Cr10011654,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,48,1,652045,654098,653071.5
Nuclear,36,Athal__AT1G02813,Crub__Carubv10012198m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,32,1,654579,655031,654805
Nuclear,37,Athal__AT1G02816,Crub__Carubv10010322m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,98,1,655454,656157,655805.5
Nuclear_RetDups,786,AtAT1G02820.1,Cr10010737,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,77,1,657420,658102,657761
Nuclear,38,Athal__AT1G02870,Crub__Carubv10010371m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,100,1,676873,678444,677658.5
Nuclear_RetDups,524,AtAT1G02890.2_AtAT1G02890.1,Cr10008107,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,100,1,686380,693851,690115.5
Nuclear_RetDups,218,AtAT1G03050,Cr10008628,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,53,1,746229,748378,747303.5
Nuclear,39,Athal__AT1G03055,Crub__Carubv10010025m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,99,1,748483,750339,749411
Nuclear,40,Athal__AT1G03080,Crub__Carubv10008080m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,100,1,769515,776807,773161
Nuclear,41,Athal__AT1G03110,Crub__Carubv10009228m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,96,1,787530,790040,788785
Nuclear_RetDups,385,AtAT1G03130.1,Cr10012376,TRUE,TRUE,TRUE,TRUE,AC_topology,AC_topology,35,1,791986,792606,792296
Nuclear,42,Athal__AT1G03140,Crub__Carubv10011298m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,90,1,792945,794660,793802.5
Nuclear,43,Athal__AT1G03150,Crub__Carubv10010452m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,56,1,796691,799118,797904.5
Nuclear,44,Athal__AT1G03170,Crub__Carubv10012407m,TRUE,TRUE,TRUE,FALSE,Other_topology,BC_topology,100,1,807353,808832,808092.5
Nuclear,45,Athal__AT1G03270,Crub__Carubv10008943m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,83,1,830288,834054,832171
Nuclear,46,Athal__AT1G03320,Crub__Carubv10012047m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,100,1,849697,850403,850050
Nuclear,47,Athal__AT1G03330,Crub__Carubv10010754m,TRUE,FALSE,TRUE,FALSE,Other_topology,Other_topology,BS_scoreNA,1,849850,852010,850930
Nuclear,48,Athal__AT1G03350,Crub__Carubv10009113m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,100,1,856958,858643,857800.5
Nuclear,49,Athal__AT1G03360,Crub__Carubv10009740m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,71,1,858801,860707,859754
Nuclear,50,Athal__AT1G03370,Crub__Carubv10008175m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,100,1,865022,869807,867414.5
Nuclear_RetDups,3,AtAT1G03440,Cr10009374,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,95,1,888706,890700,889703
Nuclear,51,Athal__AT1G03510,Crub__Carubv10011372m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,96,1,916999,918288,917643.5
Nuclear,52,Athal__AT1G03540,Crub__Carubv10011274m,TRUE,TRUE,TRUE,FALSE,Other_topology,BC_topology,100,1,925168,926994,926081
Nuclear,53,Athal__AT1G03560,Crub__Carubv10008524m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,89,1,930982,933072,932027
Nuclear,54,Athal__AT1G03610,Crub__Carubv10012401m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,66,1,940776,942193,941484.5
Nuclear,55,Athal__AT1G03650,Crub__Carubv10010366m,FALSE,TRUE,TRUE,TRUE,Other_topology,Other_topology,BS_scoreNA,1,949588,950605,950096.5
Nuclear,56,Athal__AT1G03730,Crub__Carubv10010476m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,72,1,967832,968844,968338
Nuclear,57,Athal__AT1G03800,Crub__Carubv10011371m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,99,1,1004062,1004772,1004417
Nuclear,58,Athal__AT1G03810,Crub__Carubv10010570m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,94,1,1005217,1006493,1005855
Nuclear,59,Athal__AT1G03870,Crub__Carubv10011002m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,93,1,1031570,1032316,1031943
Nuclear,60,Athal__AT1G03890,Crub__Carubv10012169m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,89,1,1041478,1043399,1042438.5
Nuclear,61,Athal__AT1G03950,Crub__Carubv10010296m,FALSE,TRUE,TRUE,TRUE,BC_topology,BC_topology,99,1,1065787,1068160,1066973.5
Nuclear,62,Athal__AT1G03982,Crub__Carubv10010963m,TRUE,TRUE,TRUE,TRUE,AC_topology,AC_topology,94,1,1075314,1076423,1075868.5
Nuclear,63,Athal__AT1G04010,Crub__Carubv10008666m,TRUE,TRUE,TRUE,FALSE,Other_topology,BC_topology,93,1,1083690,1088478,1086084
Nuclear,64,Athal__AT1G04040,Crub__Carubv10010000m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,80,1,1093410,1096139,1094774.5
Nuclear,65,Athal__AT1G04110,Crub__Carubv10012040m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,100,1,1113677,1116016,1114846.5
Nuclear,66,Athal__AT1G04130,Crub__Carubv10011408m,TRUE,TRUE,TRUE,FALSE,Other_topology,BC_topology,100,1,1126599,1128508,1127553.5
Nuclear_RetDups,6,AtAT1G04180,Cr10009248,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,48,1,1165691,1167112,1166401.5
Nuclear,67,Athal__AT1G04240,Crub__Carubv10010367m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,100,1,1189126,1190358,1189742
Nuclear,68,Athal__AT1G04260,Crub__Carubv10011583m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,90,1,1202111,1202659,1202385
Nuclear,69,Athal__AT1G04280,Crub__Carubv10012550m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,100,1,1205206,1208169,1206687.5
Nuclear_RetDups,627,AtAT1G04370.1,Cr10011057,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,55,1,1234738,1235130,1234934
Nuclear,70,Athal__AT1G04380,Crub__Carubv10012463m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,100,1,1237565,1238777,1238171
Nuclear,71,Athal__AT1G04390,Crub__Carubv10012499m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,100,1,1239446,1243403,1241424.5
Nuclear,72,Athal__AT1G04420,Crub__Carubv10009108m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,89,1,1254455,1257964,1256209.5
Nuclear_RetDups,766,AtAT1G04440.1,Cr10012017,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,100,1,1266238,1269230,1267734
Nuclear,73,Athal__AT1G04445,Crub__Carubv10011479m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,99,1,1272511,1273032,1272771.5
Nuclear_RetDups,7,AtAT1G04470,Cr10012233,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,100,1,1281801,1285334,1283567.5
Nuclear,74,Athal__AT1G04500,Crub__Carubv10009410m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,99,1,1292624,1295335,1293979.5
Nuclear,75,Athal__AT1G04520,Crub__Carubv10009823m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,74,1,1303894,1306133,1305013.5
Nuclear_RetDups,9,AtAT1G04540,Cr10011922,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,100,1,1309491,1311293,1310392
Nuclear,76,Athal__AT1G04555,Crub__Carubv10010566m,TRUE,TRUE,TRUE,FALSE,Other_topology,Other_topology,BS_scoreNA,1,1315170,1316784,1315977
Nuclear,77,Athal__AT1G04560,Crub__Carubv10012389m,TRUE,TRUE,TRUE,TRUE,AB_topology,AB_topology,33,1,1317690,1318449,1318069.5
Nuclear_RetDups,117,AtAT1G04600,Cr10012168,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,100,1,1331620,1342889,1337254.5
Nuclear_RetDups,116,AtAT1G04610,Cr10011757,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,98,1,1354849,1356651,1355750
Nuclear,78,Athal__AT1G04620,Crub__Carubv10011940m,TRUE,TRUE,TRUE,FALSE,Other_topology,BC_topology,94,1,1358291,1362127,1360209
Nuclear_RetDups,461,AtAT1G04630.1,Cr10010588,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,95,1,1362326,1363846,1363086
Nuclear,79,Athal__AT1G04670,Crub__Carubv10012332m,TRUE,TRUE,TRUE,TRUE,AB_topology,AB_topology,76,1,1374616,1375204,1374910
Nuclear,80,Athal__AT1G04690,Crub__Carubv10009717m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,94,1,1386449,1388944,1387696.5
Nuclear,81,Athal__AT1G04700,Crub__Carubv10011648m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,100,1,1390031,1393780,1391905.5
Nuclear,82,Athal__AT1G04780,Crub__Carubv10008526m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,100,1,1418070,1422131,1420100.5
Nuclear,83,Athal__AT1G04840,Crub__Carubv10008505m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,100,1,1439512,1441869,1440690.5
Nuclear,84,Athal__AT1G04850,Crub__Carubv10011080m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,98,1,1442181,1445418,1443799.5
Nuclear,85,Athal__AT1G04870,Crub__Carubv10009430m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,46,1,1450163,1452607,1451385
Nuclear_RetDups,715,AtAT1G04980.1,Cr10012209,TRUE,TRUE,TRUE,TRUE,Other_topology,Other_topology,BS_scoreNA,1,1491350,1493828,1492589
Nuclear,86,Athal__AT1G05010,Crub__Carubv10009749m,TRUE,TRUE,TRUE,TRUE,AC_topology,AC_topology,72,1,1508662,1510586,1509624
Nuclear,87,Athal__AT1G05020,Crub__Carubv10008537m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,93,1,1512691,1514871,1513781
Nuclear_RetDups,431,AtAT1G05070.1,Cr10010412,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,92,1,1531674,1532943,1532308.5
Nuclear_RetDups,500,AtAT1G05140.1,Cr10011717,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,93,1,1554751,1556097,1555424
Nuclear_RetDups,443,AtAT1G05150.1,Cr10012243,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,88,1,1556391,1558817,1557604
Nuclear,88,Athal__AT1G05190,Crub__Carubv10010237m,TRUE,TRUE,TRUE,FALSE,Other_topology,Other_topology,BS_scoreNA,1,1573959,1575493,1574726
Nuclear,89,Athal__AT1G05210,Crub__Carubv10010479m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,90,1,1582311,1586345,1584328
Nuclear,90,Athal__AT1G05260,Crub__Carubv10009829m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,82,1,1607502,1609112,1608307
Nuclear,91,Athal__AT1G05270,Crub__Carubv10012564m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,100,1,1609674,1612275,1610974.5
Nuclear,92,Athal__AT1G05280,Crub__Carubv10012119m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,100,1,1613003,1615385,1614194
Nuclear,93,Athal__AT1G05290,Crub__Carubv10011948m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,95,1,1617027,1618433,1617730
Nuclear,94,Athal__AT1G05291,Crub__Carubv10011853m,TRUE,TRUE,TRUE,TRUE,AB_topology,AB_topology,66,1,1619213,1620187,1619700
Nuclear,95,Athal__AT1G05310,Crub__Carubv10011085m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,99,1,1629253,1631261,1630257
Nuclear,96,Athal__AT1G05360,Crub__Carubv10009268m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,97,1,1653153,1656073,1654613
Nuclear,97,Athal__AT1G05370,Crub__Carubv10009204m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,95,1,1657938,1661065,1659501.5
Nuclear,98,Athal__AT1G05385,Crub__Carubv10011658m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,69,1,1671504,1672342,1671923
Nuclear,99,Athal__AT1G05420,Crub__Carubv10010861m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,93,1,1673583,1674287,1673935
Nuclear,100,Athal__AT1G05440,Crub__Carubv10012616m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,99,1,1682105,1683551,1682828
Nuclear,101,Athal__AT1G05450,Crub__Carubv10010889m,FALSE,TRUE,TRUE,TRUE,Other_topology,Other_topology,BS_scoreNA,1,1684746,1685774,1685260
Nuclear,102,Athal__AT1G05500,Crub__Carubv10010976m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,100,1,1708615,1712315,1710465
Nuclear,103,Athal__AT1G05577,Crub__Carubv10011656m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,100,1,1741082,1742831,1741956.5
Nuclear_RetDups,521,AtAT1G05580.2_AtAT1G05580.1,Cr10011346,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,100,1,1744197,1747247,1745722
Nuclear,104,Athal__AT1G05610,Crub__Carubv10009001m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,100,1,1753490,1755564,1754527
Nuclear,105,Athal__AT1G05730,Crub__Carubv10010564m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,63,1,1797219,1798429,1797824
Nuclear,106,Athal__AT1G05750,Crub__Carubv10011161m,TRUE,TRUE,TRUE,FALSE,Other_topology,BC_topology,100,1,1799746,1801266,1800506
Nuclear,107,Athal__AT1G05800,Crub__Carubv10010888m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,80,1,1815171,1816598,1815884.5
Nuclear,108,Athal__AT1G05805,Crub__Carubv10009382m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,87,1,1819940,1822758,1821349
Nuclear_RetDups,388,AtAT1G05810.1,Cr10010263,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,64,1,1823561,1824960,1824260.5
Nuclear,109,Athal__AT1G05840,Crub__Carubv10008865m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,89,1,1837509,1841870,1839689.5
Nuclear,110,Athal__AT1G05894,Crub__Carubv10011325m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,99,1,1860091,1861461,1860776
Nuclear,111,Athal__AT1G05910,Crub__Carubv10008115m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,100,1,1868167,1874972,1871569.5
Nuclear,112,Athal__AT1G06040,Crub__Carubv10010113m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,54,1,1899480,1901078,1900279
Nuclear,113,Athal__AT1G06060,Crub__Carubv10009937m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,94,1,1904087,1908638,1906362.5
Nuclear,114,Athal__AT1G06080,Crub__Carubv10012159m,TRUE,TRUE,TRUE,FALSE,Other_topology,BC_topology,100,1,1914209,1916480,1915344.5
Nuclear,115,Athal__AT1G06110,Crub__Carubv10012429m,TRUE,TRUE,TRUE,FALSE,Other_topology,BC_topology,100,1,1922486,1924302,1923394
Nuclear,116,Athal__AT1G06140,Crub__Carubv10011460m,TRUE,TRUE,TRUE,FALSE,Other_topology,BC_topology,100,1,1932215,1933888,1933051.5
Nuclear,117,Athal__AT1G06200,Crub__Carubv10012464m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,90,1,1965384,1967473,1966428.5
Nuclear,118,Athal__AT1G06210,Crub__Carubv10009444m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,98,1,1967776,1969933,1968854.5
Nuclear,119,Athal__AT1G06240,Crub__Carubv10011561m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,87,1,1977445,1979249,1978347
Nuclear,120,Athal__AT1G06250,Crub__Carubv10012192m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,92,1,1979739,1981437,1980588
Nuclear,121,Athal__AT1G06260,Crub__Carubv10011832m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,99,1,1982866,1983994,1983430
Nuclear,122,Athal__AT1G06270,Crub__Carubv10009635m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,100,1,1985378,1987126,1986252
Nuclear,123,Athal__AT1G06380,Crub__Carubv10011944m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,100,1,2008306,2009073,2008689.5
Nuclear,124,Athal__AT1G06400,Crub__Carubv10010250m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,70,1,2013267,2016117,2014692
Nuclear,125,Athal__AT1G06440,Crub__Carubv10012333m,TRUE,TRUE,TRUE,TRUE,AC_topology,AC_topology,55,1,2027765,2028937,2028351
Nuclear,126,Athal__AT1G06475,Crub__Carubv10010766m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,84,1,2038116,2038568,2038342
Nuclear,127,Athal__AT1G06520,Crub__Carubv10012249m,TRUE,TRUE,TRUE,FALSE,Other_topology,BC_topology,100,1,2057107,2059002,2058054.5
Nuclear,128,Athal__AT1G06540,Crub__Carubv10012251m,TRUE,TRUE,TRUE,FALSE,Other_topology,BC_topology,59,1,2067454,2067933,2067693.5
Nuclear,129,Athal__AT1G06560,Crub__Carubv10011768m,TRUE,TRUE,TRUE,FALSE,Other_topology,BC_topology,98,1,2071803,2076109,2073956
Nuclear_RetDups,12,AtAT1G06670,Cr10011734,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,100,1,2095893,2101892,2098892.5
Nuclear,130,Athal__AT1G06690,Crub__Carubv10011808m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,100,1,2104620,2107426,2106023
Nuclear,131,Athal__AT1G06710,Crub__Carubv10008194m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,100,1,2111436,2116291,2113863.5
Nuclear,132,Athal__AT1G06730,Crub__Carubv10008753m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,100,1,2123066,2126316,2124691
Nuclear,133,Athal__AT1G06760,Crub__Carubv10009975m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,94,1,2132379,2134151,2133265
Nuclear,134,Athal__AT1G06840,Crub__Carubv10008222m,TRUE,TRUE,TRUE,FALSE,Other_topology,BC_topology,100,1,2154826,2161309,2158067.5
Nuclear,135,Athal__AT1G06870,Crub__Carubv10009515m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,89,1,2165816,2168193,2167004.5
Nuclear,136,Athal__AT1G06900,Crub__Carubv10012025m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,100,1,2172559,2177924,2175241.5
Nuclear,137,Athal__AT1G06920,Crub__Carubv10011767m,TRUE,TRUE,TRUE,FALSE,Other_topology,BC_topology,100,1,2182028,2182981,2182504.5
Nuclear,138,Athal__AT1G06923,Crub__Carubv10011424m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,87,1,2184060,2184678,2184369
Nuclear,139,Athal__AT1G06930,Crub__Carubv10011615m,TRUE,TRUE,TRUE,FALSE,Other_topology,AC_topology,40,1,2187451,2188020,2187735.5
Nuclear,140,Athal__AT1G06950,Crub__Carubv10008186m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,100,1,2188403,2194140,2191271.5
Nuclear,141,Athal__AT1G07000,Crub__Carubv10011870m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,63,1,2210969,2212868,2211918.5
Nuclear,142,Athal__AT1G07020,Crub__Carubv10012654m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,91,1,2219055,2219510,2219282.5
Nuclear,143,Athal__AT1G07030,Crub__Carubv10011609m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,82,1,2222089,2223761,2222925
Nuclear,144,Athal__AT1G07040,Crub__Carubv10012278m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,100,1,2224476,2226276,2225376
Nuclear,145,Athal__AT1G07080,Crub__Carubv10010028m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,100,1,2232110,2235588,2233849
Nuclear,146,Athal__AT1G07090,Crub__Carubv10010340m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,80,1,2237930,2238969,2238449.5
